Location,TST,Tag,plant,farm,tx2,month2,Time,Status,plantx,plantreal,season,plantx2,plantx3
MAZINGA,Plant,217,Commiphora africana,P13,nonepl,2,140,1,0,0,Rainy,0,0
MAZINGA,Plant,218,Commiphora africana,P13,,2,98,2,0,0,Rainy,0,0
MAZINGA,Plant,219,Commiphora africana,P13,nonepl,2,140,1,0,0,Rainy,0,0
CHINKHOWE,Plant,300,Ficus ingens,P23,nonepl,3,393,1,2,2,Rainy,2,2
CHINKHOWE,Plant,301,Ficus ingens,P23,,8,183,1,0,0,Dry,0,0
CHINKHOWE,Plant,302,Ficus ingens,P23,nonepl,3,393,1,1,1,Rainy,1,1
CHINKHOWE,Plant,303,Ficus ingens,P23,nonepl,3,98,1,0,0,Rainy,0,0
CHINKHOWE,Plant,305,Ficus ingens,P24,,11,55,1,0,0,Rainy,0,0
CHINKHOWE,Plant,306,Ficus ingens,P24,nonepl,3,167,1,0,0,Rainy,0,0
CHINKHOWE,Plant,602,Ficus ingens,P20,,10,27,1,0,0,Dry,0,0
MKWINDA,Drug,10757,,D17,nonedr,3,365,1,3,0,Rainy,3,0
KAMCHEZERA,Drug,26058,,D8,nonedr,2,322,1,0,0,Rainy,0,0
KAMCHEZERA,Drug,26059,,D8,nonedr,2,322,1,0,0,Rainy,0,0
KAMCHEZERA,Drug,26060,,D8,,7,98,1,1,0,Dry,1,0
KAMCHEZERA,Drug,26065,,D1,nonedr,2,392,1,4,0,Rainy,4+,0
KAMCHEZERA,Drug,26075,,D5,nonedr,2,1,2,0,0,Rainy,0,0
KAMCHEZERA,Drug,26077,,D6,,6,126,1,0,0,Dry,0,0
KAMCHEZERA,Drug,26085,,D27,drugdr,2,112,2,0,0,Rainy,0,0
MKWINDA,Drug,26383,,D15,nonedr,3,169,2,2,0,Rainy,2,0
MKWINDA,Drug,26437,,D13,,8,183,1,3,0,Dry,3,0
KAMCHEZERA,Drug,26529,,D4,nonedr,2,392,1,1,0,Rainy,1,0
KAMCHEZERA,Drug,26549,,D3,nonedr,2,1,2,0,0,Rainy,0,0
KAMCHEZERA,Drug,26552,,D6,,1,350,1,6,0,Rainy,4+,0
KAMCHEZERA,Drug,26553,,D6,,9,1,2,0,0,Dry,0,0
KAMCHEZERA,Drug,26558,,D26,nonedr,2,168,1,1,0,Rainy,1,0
KAMCHEZERA,Drug,26559,,D26,nonedr,2,112,2,1,0,Rainy,1,0
KAMCHEZERA,Drug,26560,,D26,,1,112,1,0,0,Rainy,0,0
KAMCHEZERA,Drug,26607,,D1,nonedr,2,112,1,0,0,Rainy,0,0
KAMCHEZERA,Drug,26608,,D1,nonedr,2,112,1,0,0,Rainy,0,0
KAMCHEZERA,Drug,26624,,D27,nonedr,2,112,1,0,0,Rainy,0,0
KAMCHEZERA,Drug,26625,,D27,nonedr,2,112,1,1,0,Rainy,1,0
KAMCHEZERA,Drug,26626,,D25,,10,1,2,0,0,Dry,0,0
KAMCHEZERA,Drug,26627,,D25,,9,28,1,0,0,Dry,0,0
KAMCHEZERA,Drug,26628,,D25,drugdr,2,126,2,3,0,Rainy,3,0
KAMCHEZERA,Drug,26629,,D25,,10,1,2,0,0,Dry,0,0
KAMCHEZERA,Drug,26630,,D25,nonedr,2,98,2,4,0,Rainy,4+,0
KAMCHEZERA,Drug,26631,,D25,,9,14,2,1,0,Dry,1,0
KAMCHEZERA,Drug,26632,,D25,drugdr,2,14,2,1,0,Rainy,1,0
KAMCHEZERA,Drug,26633,,D25,nonedr,2,98,2,4,0,Rainy,4+,0
KAMCHEZERA,Drug,26634,,D25,,1,84,2,1,0,Rainy,1,0
KAMCHEZERA,Drug,26640,,D9,,8,42,1,2,0,Dry,2,0
KAMCHEZERA,Drug,26643,,D25,nonedr,2,84,2,2,0,Rainy,2,0
KAMCHEZERA,Drug,26655,,D1,,12,14,1,0,0,Rainy,0,0
MKWINDA,Drug,26909,,D12,nonedr,3,196,1,0,0,Rainy,0,0
MKWINDA,Drug,26910,,D12,,9,239,1,4,0,Dry,4+,0
MKWINDA,Drug,27049,,D15,,8,42,2,0,0,Dry,0,0
MKWINDA,Drug,27097,,D11,,1,168,1,1,0,Rainy,1,0
MKWINDA,Drug,27098,,D11,nonedr,3,210,1,0,0,Rainy,0,0
MKWINDA,Drug,27104,,D13,nonedr,3,182,1,0,0,Rainy,0,0
MKWINDA,Drug,27106,,D13,,1,168,1,1,0,Rainy,1,0
MAZINGA,Plant,94713,Ficus ingens,P1,nonepl,1,1,1,0,0,Rainy,0,0
MAZINGA,Plant,94714,Ficus ingens,P1,nonepl,2,14,1,0,0,Rainy,0,0
KAMCHEZERA,Drug,95225,,D8,nonedr,2,322,1,2,0,Rainy,2,0
KAMCHEZERA,Drug,95341,,D2,,8,210,1,1,0,Dry,1,0
KAMCHEZERA,Drug,95463,,D1,nonedr,2,392,1,4,0,Rainy,4+,0
KAMCHEZERA,Drug,95508,,D10,,9,56,1,0,0,Dry,0,0
MAZINGA,Plant,95601,Commiphora africana,P13,nonepl,2,28,2,0,0,Rainy,0,0
