TST,Frequency,Total
Plant,21,1
Plant,1,2
Plant,3,3
Plant,0,4
Plant,0,5
Plant,0,6
Drug,19,1
Drug,5,2
Drug,6,3
Drug,2,4
Drug,1,5
Drug,1,6
